iter	Logloss
0	0.6858786667
1	0.680766169
2	0.6739019705
3	0.6671362814
4	0.6612416892
5	0.6548215399
6	0.6512194695
7	0.645553503
8	0.640686944
9	0.6373333513
10	0.6328750923
11	0.6281283938
12	0.6225742701
13	0.6192000771
14	0.6161570679
15	0.6134716758
16	0.6086833976
17	0.6055703427
18	0.6011146955
19	0.5967170532
20	0.593265487
21	0.5904191336
22	0.5862002108
23	0.5822895609
24	0.5791727342
25	0.5759526934
26	0.5730203119
27	0.5703019487
28	0.5672161234
29	0.563892148
30	0.5613584426
31	0.5578586418
32	0.5552675612
33	0.5529447577
34	0.5495126709
35	0.5476469157
36	0.5448701026
37	0.542227517
38	0.5398876643
39	0.5380199402
40	0.5353743672
41	0.5333428615
42	0.5310964388
43	0.5288424411
44	0.5269839334
45	0.5252596717
46	0.5228075641
47	0.5205461837
48	0.5179586197
49	0.5161269731
50	0.5141025221
51	0.5127567893
52	0.5105078614
53	0.508874435
54	0.5072509108
55	0.5051378442
56	0.5031720283
57	0.5023446243
58	0.5006831348
59	0.4995230007
60	0.497828831
61	0.4957498726
62	0.4948557487
63	0.4929451558
64	0.4910539249
65	0.489376607
66	0.4880910071
67	0.4864424756
68	0.4849008336
69	0.4836538937
70	0.4821872709
71	0.4810274294
72	0.4799236835
73	0.4789523697
74	0.477343274
75	0.4762660924
76	0.4746887074
77	0.4734453839
78	0.4723076216
79	0.4712583211
80	0.4706654745
81	0.4694067358
82	0.4685218611
83	0.4672315516
84	0.4663406908
85	0.4651180893
86	0.4638969747
87	0.4628056762
88	0.4618852398
89	0.4605966035
90	0.4597362396
91	0.4593612518
92	0.4587410762
93	0.4579316
94	0.4571227197
95	0.4561881731
96	0.4556079985
97	0.4552551292
98	0.455004477
99	0.454452568
100	0.4534797319
101	0.4527478704
102	0.4524914624
103	0.4522486588
104	0.4514122736
105	0.4507810938
106	0.4501010651
107	0.449800338
108	0.449241449
109	0.4485676369
110	0.4481662138
111	0.4476961207
112	0.446912973
113	0.4464432429
114	0.4457614696
115	0.4451351226
116	0.4445635612
117	0.4444030639
118	0.4435035486
119	0.4430449139
120	0.4423169679
121	0.4417728424
122	0.4413626018
123	0.4407650383
124	0.4403324925
125	0.4402142358
126	0.4398512695
127	0.4396698436
128	0.4389136986
129	0.4384225918
130	0.4377454684
131	0.4371798177
132	0.4365757986
133	0.4361935303
134	0.4354050921
135	0.434777139
136	0.4341453722
137	0.4339716543
138	0.4334944247
139	0.4331510909
140	0.432761752
141	0.4323267558
142	0.4322932029
143	0.4318557432
144	0.431341947
145	0.4308387835
146	0.4307706293
147	0.4303641712
148	0.4299407879
149	0.4295739727
150	0.4292852775
151	0.4292103822
152	0.4291159724
153	0.4288183993
154	0.4285861269
155	0.4281967129
156	0.4279235952
157	0.4275035493
158	0.4271061419
159	0.4270584435
160	0.4269471542
161	0.4265297768
162	0.4259255618
163	0.4255384163
164	0.4250565713
165	0.4246802247
166	0.4243167254
167	0.4237604166
168	0.4235245092
169	0.423288547
170	0.42309416
171	0.4227995942
172	0.4224943573
173	0.4222527136
174	0.4219929466
175	0.4217929375
176	0.4214056329
177	0.4211824399
178	0.4208622443
179	0.4205049225
180	0.4200993698
181	0.4196892425
182	0.4192957062
183	0.4189983609
184	0.4186725368
185	0.4184110522
186	0.4183937821
187	0.4180748897
188	0.418034919
189	0.4179069545
190	0.4176436116
191	0.4172565481
192	0.4170199934
193	0.4166124122
194	0.4163310051
195	0.416126582
196	0.4158737695
197	0.4158665866
198	0.4156863577
199	0.4153427668
200	0.4152150187
201	0.4150794973
202	0.4149691524
203	0.4148942077
204	0.4146777738
205	0.4144478899
206	0.4142055249
207	0.4138096855
208	0.4134918393
209	0.4131902023
210	0.4131742902
211	0.4129782563
212	0.4127390274
213	0.4123114267
214	0.4119617881
215	0.4117469035
216	0.4116191468
217	0.4111872189
218	0.4109238673
219	0.4107668849
220	0.4105833006
221	0.4103065928
222	0.4100659661
223	0.4097711426
224	0.4096947934
225	0.4094751845
226	0.4091082188
227	0.4088956635
228	0.4087528932
229	0.4085819766
230	0.4081513188
231	0.407958213
232	0.4077154709
233	0.4074037539
234	0.4072050497
235	0.4070642193
236	0.4067971309
237	0.4065924156
238	0.4064284172
239	0.4060164192
240	0.4057995817
241	0.4055661816
242	0.4053921427
243	0.405060489
244	0.4050185544
245	0.4048077297
246	0.4046395108
247	0.4044020656
248	0.4043361588
249	0.4041828112
250	0.4040387445
251	0.4039035294
252	0.4036699239
253	0.4034324268
254	0.4034310376
255	0.4031567655
256	0.4028262305
257	0.4025821017
258	0.4023036493
259	0.402119989
260	0.4019714502
261	0.4016939168
262	0.4015832661
263	0.4012636245
264	0.4011229405
265	0.4011178686
266	0.4009984582
267	0.4008803776
268	0.4006001663
269	0.400399777
270	0.4001672729
271	0.3999457859
272	0.3998600105
273	0.3996030322
274	0.3996012126
275	0.3993383238
276	0.399185478
277	0.3990190706
278	0.3987867299
279	0.3985924343
280	0.398341836
281	0.3981296251
282	0.3980211085
283	0.397874262
284	0.3975901964
285	0.3973888081
286	0.3973714259
287	0.3973615867
288	0.3971426886
289	0.3968487457
290	0.3965859719
291	0.3964176187
292	0.3964085893
293	0.3962447246
294	0.3960663038
295	0.3958456788
296	0.3957150234
297	0.3955817533
298	0.3953810334
299	0.3953654288
300	0.3952073056
301	0.395037474
302	0.3947594848
303	0.3945508179
304	0.3944035332
305	0.3941589406
306	0.3939957357
307	0.393857377
308	0.3936767031
309	0.3935179248
310	0.3933867016
311	0.3933178004
312	0.3932180779
313	0.3930891306
314	0.3928848182
315	0.392763861
316	0.3926287482
317	0.3925101913
318	0.3923127001
319	0.3921723045
320	0.3920760137
321	0.3918257831
322	0.3916437735
323	0.3914227223
324	0.3911526347
325	0.3909824987
326	0.3908855912
327	0.390703135
328	0.3904974331
329	0.3903391868
330	0.3902600001
331	0.3900541784
332	0.3899194924
333	0.3898026306
334	0.3896192772
335	0.3894906197
336	0.3893321529
337	0.3891242688
338	0.3888696504
339	0.3888345224
340	0.388730095
341	0.3885595885
342	0.3883227884
343	0.3882602296
344	0.3880929928
345	0.3880045741
346	0.3878422012
347	0.3877247234
348	0.3874856253
349	0.3873670257
350	0.3872694775
351	0.3870967586
352	0.3869459232
353	0.3867769835
354	0.3866515712
